Officer Disciplined?,Years of SPD Service,Subject Race,Subject Gender,Subject Age,Fatal,Disposition
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
